Sno,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,01/22/2020,,South Korea,1/22/2020 17:00,1,0,0
2,01/23/2020,,South Korea,1/23/20 17:00,1,0,0
3,01/24/2020,,South Korea,1/24/20 17:00,2,0,0
4,01/25/2020,,South Korea,1/25/20 17:00,2,0,0
5,01/26/2020,,South Korea,1/26/20 16:00,3,0,0
6,01/27/2020,,South Korea,1/27/20 23:59,4,0,0
7,01/28/2020,,South Korea,1/28/20 23:00,4,0,0
8,01/29/2020,,South Korea,1/29/20 19:30,4,0,0
9,01/30/2020,,South Korea,1/30/20 16:00,4,0,0
10,01/31/2020,,South Korea,1/31/2020 23:59,11,0,0
11,02/01/2020,,South Korea,2/1/2020 10:43,12,0,0
12,02/02/2020,,South Korea,2020-02-02T02:23:13,15,0,0
13,02/03/2020,,South Korea,2020-02-02T02:23:13,15,0,0
14,02/04/2020,,South Korea,2020-02-04T15:33:03,16,0,0
15,02/05/2020,,South Korea,2020-02-05T15:33:01,19,0,0
16,02/06/2020,,South Korea,2020-02-06T02:53:03,23,0,0
17,02/07/2020,,South Korea,2020-02-07T03:03:03,24,0,1
18,02/08/2020,,South Korea,2020-02-07T03:03:03,24,0,1
19,02/09/2020,,South Korea,2020-02-09T02:33:02,25,0,3
20,02/10/2020,,South Korea,2020-02-10T03:03:09,27,0,3
21,02/11/2020,,South Korea,2020-02-11T02:53:02,28,0,3
22,02/12/2020,,South Korea,2020-02-12T14:43:03,28,0,7
23,02/13/2020,,South Korea,2020-02-12T14:43:03,28,0,7
24,02/14/2020,,South Korea,2020-02-12T14:43:03,28,0,7
25,02/15/2020,,South Korea,2020-02-15T23:33:02,28,0,9
26,02/16/2020,,South Korea,2020-02-16T01:33:02,29,0,9
27,02/17/2020,,South Korea,2020-02-17T23:43:01,30,0,10
28,02/18/2020,,South Korea,2020-02-18T03:43:02,31,0,12
29,02/19/2020,,South Korea,2020-02-18T03:43:02,31,0,12
30,02/20/2020,,South Korea,2020-02-20T09:53:02,104,1,16
31,02/21/2020,,South Korea,2020-02-21T13:43:02,204,2,16
32,02/22/2020,,South Korea,2020-02-22T08:33:02,433,2,16
33,02/23/2020,,South Korea,2020-02-23T23:33:07,602,6,18
34,02/24/2020,,South Korea,2020-02-24T11:13:10,833,8,18
35,02/25/2020,,South Korea,2020-02-25T08:13:19,977,10,22
36,02/26/2020,,South Korea,2020-02-26T11:03:11,1261,12,22
37,02/27/2020,,South Korea,2020-02-27T12:03:04,1766,13,22
38,02/28/2020,,South Korea,2020-02-28T08:53:03,2337,13,22
39,02/29/2020,,South Korea,2020-02-29T18:13:07,3150,16,27
40,03/01/2020,,South Korea,2020-03-01T23:43:03,3736,17,30
41,03/02/2020,,South Korea,2020-03-02T20:23:16,4335,28,30
42,03/03/2020,,South Korea,2020-03-03T09:43:02,5186,28,30
43,03/04/2020,,South Korea,2020-03-04T19:23:03,5621,35,41
44,03/05/2020,,South Korea,2020-03-05T09:03:09,6088,35,41
45,03/06/2020,,South Korea,2020-03-06T13:33:03,6593,42,135
46,03/07/2020,,South Korea,2020-03-07T10:13:22,7041,44,135
47,03/08/2020,,South Korea,2020-03-08T12:53:03,7314,50,118
48,03/09/2020,,South Korea,2020-03-09T09:03:03,7478,53,118
49,03/10/2020,,South Korea,2020-03-10T19:13:20,7513,54,247
50,03/11/2020,,South Korea,2020-03-11T21:13:18,7755,60,288
51,03/12/2020,,South Korea,2020-03-12T05:13:02,7869,66,333
52,03/13/2020,,South Korea,2020-03-11T20:00:00,7979,66,510
53,03/14/2020,,South Korea,2020-03-14T01:33:02,8086,72,510
54,03/15/2020,,South Korea,2020-03-15T18:20:18,8162,75,510
55,03/16/2020,,South Korea,2020-03-16T14:38:45,8236,75,1137
56,03/17/2020,,South Korea,2020-03-17T10:33:03,8320,81,1407
57,03/18/2020,,South Korea,2020-03-18T02:53:03,8413,84,1540
58,03/19/2020,,South Korea,2020-03-19T02:13:17,8565,91,1540
59,03/20/2020,,South Korea,2020-03-20T02:13:46,8652,94,1540
60,03/21/2020,,South Korea,2020-03-21T11:13:12,8799,102,1540
61,03/22/2020,,South Korea,2003-08-20 5:31,8897,104,2909
62,03/23/2020,,South Korea,2020-03-23 23:23,8961,111,3166
63,03/24/2020,,South Korea,2020-03-24 23:41,9037,120,3507
64,03/25/2020,,South Korea,2020-03-25 23:37,9137,126,3730
65,03/26/2020,,South Korea,2020-03-26 23:53,9241,131,4144
66,03/27/2020,,South Korea,2020-03-27 23:27,9332,139,4528
67,03/28/2020,,South Korea,2020-03-28 23:11,9478,144,4811
68,03/29/2020,,South Korea,2020-03-29 23:14,9583,152,5033
69,03/30/2020,,South Korea,2020-03-30 22:58,9661,158,5228
70,03/31/2020,,South Korea,2020-03-31 23:49,9786,162,5408
71,04/01/2020,,South Korea,2020-04-01 22:04,9887,165,5567
72,04/02/2020,,South Korea,2020-04-02 23:32,9976,169,5828
73,04/03/2020,,South Korea,2020-04-03 22:52,10062,174,6021
74,04/04/2020,,South Korea,2020-04-04 23:41,10156,177,6325
